Datetime Id(GSM_CELL),Moid(GSM_CELL),Bsc(GSM_CELL),ID,小区名,网格九分区,网格,无线接入性,下行TBF建立成功率,切换成功率,每Erl掉话数,上行6-7级质差话务比例（六忙时）,下行6-7级质差话务比例（六忙时）,GSM质差话务占比(六忙时),GSM上下行质差话务比例,最差小区次数,高掉话最差小区次数,高拥塞最差小区次数,寻呼成功率,TCH话务量,半速率比例,随机接入成功率,TCH拥塞率(考核算法),话务掉话比,上行底噪,EDGE下行速率,GPRS下行速率,掉话率(最差小区考核算法),TCH掉话率(不含切换),干扰系数,总流量(MB),PDCH使用数,TCH信道完好率,TCH定义信道数,TCH可用信道数,SDCCH指配成功率,SDCCH拥塞率,SDCCH掉话率,TCH指配成功率,PDCH下行复用度(旧),PDCH下行复用度(新),寻呼拥塞总数,信道利用率,TBF掉线率,上行覆盖率,下行覆盖率,高干扰小区数(4-5级干扰>30%),上行高质差小区数(6-7级质差>5%),下行高质差小区数(6-7级质差>5%),小区数,上行6-7级质差话务比例（六忙时-室内）,下行6-7级质差话务比例（六忙时-室内）,上行6-7级质差话务比例（六忙时-室外）,下行6-7级质差话务比例（六忙时-室外）,GSM语音质量,高流量小区个数,TBF下行申请数,TCH掉话次数,TCH申请数,上行弱信号掉话,下行弱信号掉话,双向弱信号掉话,上行质差掉话,下行质差掉话,双向质差掉话,TA掉话,突然掉话,
2016/6/16,P5OHSC1,GZM41B5,PG27629,横沥沙头村,番禺,G.1.10,0.9726474,0.9998325,0.9603174,0.8736168,0.02444418,0.03053146,0.02748782,,,,,,17.17,0.1357018,0.9845525,0,64.3875,0.0001016777,115.599,4.893302,0.005959032,0.01835985,1.112557,137.5457,39.09,1,18,18,0.9845525,0,0.009200769,0.9879081,1.415894,1.105004,60,0.6945679,0.0149394,0.9412951,0.9188653,0,0,0,1,,,,,0.9725122,0,23886,15,817,1,3,6,0,3,0,0,2,
2016/6/16,P5OHSC2,GZM41B5,PG27630,横沥沙头村,番禺,G.1.10,0.995117,0.9998935,0.9807355,0.5524862,0.02094691,0.0200941,0.0205205,,,,,,19.91,0.1336012,0.997545,0,99.55,0,134.6375,29.12776,0.004827031,0.01455026,1.715222,187.5527,39.68,1,18,18,0.9977496,0,0.009880029,0.9973615,1.575842,1.112672,0,0.735679,0.02291909,0.9608319,0.9771247,0,0,0,1,,,,,0.9794795,0,28178,11,756,1,1,3,0,5,0,0,1,
2016/6/16,P5OHSC3,GZM41B5,PG27631,横沥沙头村,番禺,G.1.10,0.9973432,0.9998838,0.9881831,0.209937,0.007720081,0.008027331,0.007873706,,,,,,28.58,0.1371589,0.9973432,0,244.9714,0.01336074,130.4153,5.268916,0.002851324,0.00543971,1.405566,258.5768,54.4,0.9627084,24,23,0.9973432,0,0.002119286,1,1.484757,1.072441,23,0.7683333,0.01308289,0.9795018,0.9599552,0,0,0,1,,,,,0.9921263,1,34429,6,1103,0,1,1,0,1,0,0,3,
2016/6/17,5X3DAJ1,GZE24,PG07659,大简,番禺,G.1.8,0.999015,1,0.9990249,0.2317497,0.00917547,0.01087079,0.01002313,,,,,,17.26,0,0.999015,0,345.2,0,157.9874,27.00271,0.001093294,0.005602241,1.014184,155.1142,27.9,0.7169811,53,38,0.999015,0,0.001057753,1,1.121068,1.016882,4,0.1893501,0.01132901,0.9842446,0.9685594,0,0,0,1,,,,,0.9899769,1,17968,4,714,0,1,0,0,1,0,0,2,
2016/6/17,5X3DAJ2,GZE24,PG07660,大简,番禺,G.1.8,0.9818057,0.9920037,0.8714979,3.667916,0.1346684,0.01043891,0.07255364,,,,,,101.42,0.9500098,0.9990931,0.003823178,15.64319,1,77.99958,6.149528,0.03381433,0.09042294,4.060809,165.4646,54.65,0.4230769,52,22,0.9987499,0.0003350505,0.02498205,0.9830347,2.912084,1.279031,128,0.6669658,0.02215506,1,0.9940856,1,1,0,1,,,,,0.9274464,0,205721,372,4114,0,62,0,180,9,31,0,91,
2016/6/17,5X3DAJ3,GZE24,PG07661,大简,番禺,G.1.8,0.9987038,0.997833,0.988466,0.08996042,0.01114857,0.009901577,0.01052507,,1,0,1,,55.58,0.4172364,0.9992152,0,666.96,0.01169078,79.18466,17.22408,0.0008793528,0.002124044,1.820547,486.2711,56.33,0.5111111,45,23,0.999128,0,0.003728283,0.9995754,2.977099,1.744973,0,0.552642,0.01761478,0.9889693,0.9727146,0,0,0,1,,,,,0.989475,1,121365,5,2354,0,1,3,0,0,0,0,1,
2016/6/17,5X8DAJ1,GZE24,PD16354,大简D,番禺,G.1.8,0.9992794,0.9998391,0.9968263,0.03665017,0.00656045,0.002498797,0.004529624,,,,,,54.57,0.8629283,0.9996662,0,1637.1,0,142.2471,14.15871,0.0004183225,0.001108033,1.051749,634.7636,81.93,1,25,25,0.9998331,0,0.00290577,0.9994463,1.528311,1.135795,172,1.213333,0.01252843,0.956935,0.9771985,0,0,0,1,,,,,0.9954704,1,87038,2,1805,0,0,0,0,0,0,0,2,
2016/6/17,P5OHSC1,GZM41B5,PG27629,横沥沙头村,番禺,G.1.10,0.9666755,0.9999599,0.9512541,0.7799443,0.02052951,0.02713505,0.02383228,,,,,,17.95,0.07130919,0.9707003,0,76.92857,0.0008130682,118.5118,4.536189,0.00464345,0.01414141,1.180945,116.1617,36.33,1,18,18,0.9705812,0,0.008131131,0.9959759,1.465253,1.094788,51,0.6701235,0.02597274,0.9570661,0.9276489,0,0,0,1,,,,,0.9761677,0,24915,14,990,0,1,4,0,7,1,0,1,
2016/6/17,P5OHSC2,GZM41B5,PG27630,横沥沙头村,番禺,G.1.10,0.9949688,0.9999274,0.9852608,0.109529,0.009784541,0.01851527,0.01414991,,,,,,18.26,0.1199343,0.9964561,0,182.6,0.0005802868,124.5502,14.77174,0.002444988,0.002989537,1.0572,109.7003,40.08,1,18,18,0.9964561,0,0.008065792,0.9985074,1.424446,1.049368,0,0.7202469,0.02142453,0.9689182,0.9822489,0,0,0,1,,,,,0.9858501,0,27553,2,669,0,0,1,0,0,0,0,0,
2016/6/17,P5OHSC3,GZM41B5,PG27631,横沥沙头村,番禺,G.1.10,0.9962698,0.9998865,0.993992,0.1176817,0.004869697,0.004382381,0.004626039,,,,,,33.99,0.06678434,0.9971057,0,339.9,0.007270054,125.5406,12.27108,0.002249719,0.003355705,1.385803,204.4119,58.18,0.9796528,24,24,0.9971057,0,0.002085195,0.9991618,1.354667,1.037021,33,0.8534259,0.01334101,0.9924694,0.9887469,0,0,0,1,,,,,0.995374,1,35220,4,1192,0,0,1,0,0,0,0,3,
