Datetime Id(GSM_CELL),Moid(GSM_CELL),Bsc(GSM_CELL),ID,小区名,网格九分区,网格,无线接入性,下行TBF建立成功率,切换成功率,每Erl掉话数,上行6-7级质差话务比例（六忙时）,下行6-7级质差话务比例（六忙时）,GSM质差话务占比(六忙时),GSM上下行质差话务比例,最差小区次数,高掉话最差小区次数,高拥塞最差小区次数,寻呼成功率,TCH话务量,半速率比例,随机接入成功率,TCH拥塞率(考核算法),话务掉话比,上行底噪,EDGE下行速率,GPRS下行速率,掉话率(最差小区考核算法),TCH掉话率(不含切换),干扰系数,总流量(MB),PDCH使用数,TCH信道完好率,TCH定义信道数,TCH可用信道数,SDCCH指配成功率,SDCCH拥塞率,SDCCH掉话率,TCH指配成功率,PDCH下行复用度(旧),PDCH下行复用度(新),寻呼拥塞总数,信道利用率,TBF掉线率,上行覆盖率,下行覆盖率,高干扰小区数(4-5级干扰>30%),上行高质差小区数(6-7级质差>5%),下行高质差小区数(6-7级质差>5%),小区数,上行6-7级质差话务比例（六忙时-室内）,下行6-7级质差话务比例（六忙时-室内）,上行6-7级质差话务比例（六忙时-室外）,下行6-7级质差话务比例（六忙时-室外）,GSM语音质量,高流量小区个数,TBF下行申请数,TCH掉话次数,TCH申请数,上行弱信号掉话,下行弱信号掉话,双向弱信号掉话,上行质差掉话,下行质差掉话,双向质差掉话,TA掉话,突然掉话,
2016/5/23,ZS1GJC1,GZM19A,ZG24708,广河井口冚村,增城,G.8.3,0.999003,1,0.998773,0.3335557,0.01609023,0.03091654,0.02350339,,,,,,14.99,0,0.9993353,0,179.88,0.005302597,144.764,6.147766,0.003503854,0.007824726,1.051978,147.5498,38.72,1,26,26,0.999003,0,0.00338524,1,1.304112,1.039928,0,0.4590598,0.01220129,0.9277632,0.9036576,0,0,0,1,,,,,0.9764966,0,38710,5,639,2,0,3,0,0,0,0,0,
2016/5/23,ZS1GJC2,GZM19A,ZG24709,广河井口冚村,增城,G.8.3,0.9969128,0.9999576,0.986731,0.1628665,0.0114835,0.01733712,0.01441031,,,,,,18.42,0,0.9986111,0,368.4,0.01625915,143.7497,4.901919,0.00104712,0.005110733,1.086533,74.66411,25,1,28,28,0.9986111,0,0.003122212,0.9982993,1.283221,1.026831,0,0.3446032,0.0115252,0.9598559,0.9534861,0,0,0,1,,,,,0.9855897,0,23611,3,587,0,0,2,0,1,0,0,0,
2016/5/23,ZS1GJC3,GZM19A,ZG24710,广河井口冚村,增城,G.8.3,0.9996292,0.9999346,0.9954767,0.1021003,0.0286377,0.0261222,0.02737995,,,,,,68.56,0,0.9997219,0,587.6572,0.0001248751,87.90501,7.239386,0.0009067358,0.002893758,1.058863,374.155,68.54,1,56,56,0.9996292,0,0.004667663,1,2.081029,1.253332,1,0.5440477,0.02034613,0.8623638,0.8107138,0,0,0,1,,,,,0.9726201,1,107050,7,2419,0,1,2,1,1,0,0,2,
2016/5/24,ZS1GJC1,GZM19A,ZG24708,广河井口冚村,增城,G.8.3,0.998664,1,0.997619,0.1246883,0.009173753,0.01265939,0.01091657,,,,,,8.02,0,0.998664,0,481.2,0,125.7939,2.757822,0.001336898,0.003030303,1.00006,59.08121,16.61,1,26,26,0.998664,0,0.004781421,1,1.276781,1.031434,0,0.2105128,0.01075766,0.9439213,0.9329419,0,0,0,1,,,,,0.9890834,0,16493,1,330,0,0,1,0,0,0,0,0,
2016/5/24,ZS1GJC2,GZM19A,ZG24709,广河井口冚村,增城,G.8.3,0.9948534,1,0.9802794,0.8849558,0.02744778,0.02454554,0.02599666,,,,,,10.17,0,0.9980218,0,67.8,0.02359823,159.6411,21.73498,0.006373938,0.02866242,1.585922,43.32046,11.92,1,28,28,0.9980218,0,0.00776699,0.9968254,1.233808,1.032901,0,0.1753175,0.01174374,0.9132687,0.9393107,0,0,0,1,,,,,0.9740033,0,10442,9,314,4,0,3,0,2,0,0,0,
2016/5/24,ZS1GJC3,GZM19A,ZG24710,广河井口冚村,增城,G.8.3,0.9986631,0.999983,0.9959728,0.1999556,0.06317556,0.01231617,0.03774587,,,,,,45.01,0,0.998496,0,270.06,0.076445,101.9486,8.587162,0.002155637,0.005897772,2.433408,166.6448,34.96,1,56,56,0.9986631,0,0.002356506,1,2.040055,1.159918,0,0.3173413,0.02628545,0.9196208,0.8149865,0,1,0,1,,,,,0.9622541,1,58692,9,1526,0,1,6,0,1,0,0,1,
2016/5/28,ZS1GJC1,GZM19A,ZG24708,广河井口冚村,增城,G.8.3,0.9980763,1,0.9965278,0.06540222,0.01047456,0.01034974,0.01041215,,,,,,15.29,0.01635056,1,0,458.7,0,137.1767,18.65046,0.001375516,0.001626016,1.000037,200.3896,50.95,1,26,26,0.9996992,0,0.00310559,0.9983766,1.300521,1.030133,0,0.5661538,0.02252834,0.937229,0.9268158,0,0,0,1,,,,,0.9895878,1,49981,1,615,0,0,1,0,0,0,0,0,
2016/5/28,ZS1GJC2,GZM19A,ZG24709,广河井口冚村,增城,G.8.3,0.9960364,1,0.9893073,0.2963841,0.01557439,0.01319209,0.01438324,,,,,,16.87,0,0.9996849,0,202.44,0.0001274405,133.0365,16.81037,0.001980982,0.00915751,1.011903,79.40057,28.61,1,28,28,0.9996849,0,0.009165613,0.9963503,1.282157,1.030141,0,0.3609524,0.02236093,0.9535866,0.9562204,0,0,0,1,,,,,0.9856167,0,25832,5,546,0,0,4,0,0,0,0,1,
2016/5/28,ZS1GJC3,GZM19A,ZG24710,广河井口冚村,增城,G.8.3,0.9986775,0.9974461,0.9954776,0.2206932,0.05329918,0.02739837,0.04034878,,,,,,77.03,0,0.9996938,0,192.575,0.003806964,73.02177,26.16965,0.002910502,0.005766621,1.689994,361.1353,72.25,1,56,56,0.9996938,0,0.004461141,0.9989834,2.772252,1.344963,0,0.5923809,0.0234238,0.8655351,0.7792181,0,1,0,1,,,,,0.9596512,1,178157,17,2948,0,0,12,0,0,0,0,5,
2016/6/2,ZS1GJC1,GZM19A,ZG24708,广河井口冚村,增城,G.8.3,0.9967949,1,1,0.2824859,0.007281553,0.007944635,0.007613094,,,,,,7.08,0.005649718,1,0,212.4,0,160.0245,3.312096,0.002739726,0.006430868,1.000248,73.38248,18.39,0.6,26,16,1,0,0.002070393,0.9967949,1.291913,1.034152,0,0.2176923,,0.9724919,0.9626779,0,0,0,1,,,,,0.9923869,0,18958,2,311,0,0,2,0,0,0,0,0,
