Day,Moid(GSM_CELL),Bsc(GSM_CELL),ID,小区名,网格九分区,网格,无线接入性,下行TBF建立成功率,切入成功率,每Erl掉话数,上行6-7级质差话务比例,下行6-7级质差话务比例,GSM质差话务占比（六忙时）,GSM上下行质差话务比例,最差小区次数,高掉话最差小区次数,高拥塞最差小区次数,寻呼成功率,TCH话务量,半速率比例,随机接入成功率,TCH拥塞率(考核算法),话务掉话比,上行底噪,EDGE下行速率,GPRS下行速率,掉话率(最差小区考核算法),TCH掉话率(不含切换),干扰系数,总流量(MB),PDCH使用数,TCH信道完好率,TCH定义信道数,TCH可用信道数,SDCCH指配成功率,SDCCH拥塞率,SDCCH掉话率,TCH指配成功率,PDCH下行复用度(旧),PDCH下行复用度(新),寻呼拥塞总数,信道利用率,TBF掉线率,上行覆盖率,下行覆盖率,高干扰小区数(4-5级干扰>30%),上行高质差小区数(6-7级质差>5%),下行高质差小区数(6-7级质差>5%),小区数,上行6-7级质差话务比例（六忙时-室内）,下行6-7级质差话务比例（六忙时-室内）,上行6-7级质差话务比例（六忙时-室外）,下行6-7级质差话务比例（六忙时-室外）,GSM语音质量,高流量小区个数,TBF下行申请数,TCH掉话次数,TCH申请数,上行弱信号掉话,下行弱信号掉话,双向弱信号掉话,上行质差掉话,下行质差掉话,双向质差掉话,TA掉话,突然掉话,
2016/6/19,P8RNZD3,GZM44B8,PG38221,南站东广场,番禺,G.1.2,0.9944997,0.9994174,0.9793814,0.974026,0.05891902,0.05623432,0.05757667,,,,,,18.48,0,0.9992952,0,61.6,0.6701331,20.46089,15.60586,0.003875135,0.006676558,3.671118,335.732,86.44,1,38,38,0.9992952,0,0.0134241,0.9952012,2.780318,1.699815,0,0.6135672,0.01283118,0.9987295,0.9788553,1,1,1,1,,,,,0.9424233,1,245433,18,2696,0,10,0,0,1,4,0,3,
2016/6/26,P8RNZD3,GZM44B8,PG38221,南站东广场,番禺,G.1.2,0.989572,0.9961083,0.9735729,1.073493,0.05355693,0.1277188,0.09063787,,,,,,72.66,0.5170658,0.9984028,0.002469136,50.11034,0.5723959,14.31328,8.475731,0.003522267,0.02157676,3.574202,476.7188,134.07,0.948114,,36,0.9977845,0.0006669061,0.02846692,0.9917696,3.050788,1.776606,,1.208947,0.04499299,0.9975876,0.992141,1,1,1,1,,,,,0.9093621,,,,,,,,,,,,,
2016/6/28,P8RNZD3,GZM44B8,PG38221,南站东广场,番禺,G.1.2,0.992474,0.9990841,0.9642702,0.771129,0.05224607,0.2544397,0.1533429,,,,,,64.84,0.5475016,0.9989747,0,67.07586,0.7167796,16.61998,10.36291,0.002512563,0.01795332,3.724584,494.8275,135.45,1,,38,0.9988892,0.0001416591,0.03357996,0.9935783,2.726429,1.64654,,1.171287,0.04797262,0.9985602,0.9942562,1,1,1,1,,,,,0.8466571,,,,,,,,,,,,,
2016/6/18,P8RNZD3,GZM44B8,PG38221,南站东广场,番禺,G.1.2,0.9958143,0.9991875,0.9787573,1.360544,0.07111745,0.06498383,0.06805064,,,,,,16.17,0,0.9994361,0,40.425,0.3798741,22.99513,15.79669,0.005606167,0.008994277,3.380118,365.2524,90.12,1,38,38,0.9990712,0,0.01534155,0.99674,2.762065,1.690833,0,0.6215789,0.01257421,0.9933158,0.9771774,1,1,1,1,,,,,0.9319494,1,236315,22,2446,1,8,0,3,3,3,0,4,
2016/6/22,P8RNZD3,GZM44B8,PG38221,南站东广场,番禺,G.1.2,0.998035,0.9995021,0.9853801,1.014084,0.04411972,0.05600483,0.05006228,,,,,,17.75,0,0.9994606,0,56.05263,0.4020419,23.02304,17.09405,0.003946822,0.006797583,3.402617,282.3575,71.48,1,,38,0.9995435,0,0.01194882,0.9984917,2.838475,1.728054,,0.5218129,0.01643543,0.9966116,0.9824019,1,0,1,1,,,,,0.9499377,,,,,,,,,,,,,
2016/6/25,P8RNZD3,GZM44B8,PG38221,南站东广场,番禺,G.1.2,0.993001,0.9943208,0.9604613,1.243523,0.05664341,0.1736377,0.1151405,,,,,,67.55,0.7099926,0.997858,0.001156404,43.58065,0.3839373,15.02692,7.810891,0.003852367,0.02440442,3.391011,548.4064,154.1,1,,38,0.9979056,0,0.01533516,0.9950853,3.248567,1.980486,,1.296199,0.04254083,0.9957289,0.9888545,1,1,1,1,,,,,0.8848594,,,,,,,,,,,,,
2016/6/17,P8RNZD3,GZM44B8,PG38221,南站东广场,番禺,G.1.2,0.9943916,0.9992955,0.981994,1.950806,0.07586189,0.06825484,0.07205836,,,,,,23.58,0.005089059,0.9988477,0,30.10213,0.3704815,25.64473,15.07051,0.008281939,0.01699298,3.368035,441.1484,102.86,1,38,38,0.9987996,0,0.01594312,0.9955866,2.709879,1.722236,1,0.7394152,0.01099024,0.9912655,0.9702718,1,1,1,1,,,,,0.9279416,1,285308,46,2707,0,19,4,4,6,7,0,6,
2016/6/20,P8RNZD3,GZM44B8,PG38221,南站东广场,番禺,G.1.2,0.9973732,0.9986807,0.9817536,0.6539509,0.04344564,0.0708176,0.05713162,,,,,,18.35,0,0.9996145,0,78.64286,0.4565604,24.24678,16.16996,0.00296673,0.004494382,3.457011,316.2906,78.21,1,38,38,0.9996145,0,0.0127184,0.9977579,2.861802,1.7288,0,0.5646784,0.01147212,0.9971775,0.9888202,1,0,1,1,,,,,0.9428684,1,226636,12,2670,0,6,1,0,2,0,0,3,
2016/6/23,P8RNZD3,GZM44B8,PG38221,南站东广场,番禺,G.1.2,0.994682,0.9988945,0.9629787,0.8306414,0.044532,0.1917221,0.118127,,,,,,65.01,0.6954315,0.9982607,0.0003009329,63.94426,0.3916428,16.6627,9.074821,0.002619262,0.01630927,3.394505,578.4986,155.73,1,,38,0.9982874,0,0.01561393,0.9963888,3.00828,1.820722,,1.290877,0.04364409,0.9959129,0.9935991,1,0,1,1,,,,,0.881873,,,,,,,,,,,,,
2016/6/27,P8RNZD3,GZM44B8,PG38221,南站东广场,番禺,G.1.2,0.994725,0.9989511,0.9546816,0.8394896,0.04939313,0.1767123,0.1130527,,,,,,59.56,0.6292814,0.998628,0,67.42641,0.6552056,16.58927,9.855868,0.002438351,0.01634521,3.659373,531.882,147.16,1,,38,0.998628,0,0.03135265,0.9960925,2.817046,1.677372,,1.208889,0.04780383,0.9958985,0.9920626,1,0,1,1,,,,,0.8869473,,,,,,,,,,,,,
2016/6/15,P8RNZD3,GZM44B8,PG38221,南站东广场,番禺,G.1.2,0.9959514,0.9997522,0.9874067,1.491681,0.0590156,0.04966665,0.05434112,,,,,,17.43,0,0.9996599,0,37.35,0.3378174,23.54232,17.1876,0.006241641,0.01075714,3.337292,300.4174,75.15,1,38,38,0.9996599,0,0.01523529,0.9962902,2.812095,1.735232,2,0.5414035,0.009298543,0.9923875,0.9863585,1,1,0,1,,,,,0.9456589,1,205757,26,2417,3,11,5,0,2,4,0,1,
2016/6/16,P8RNZD3,GZM44B8,PG38221,南站东广场,番禺,G.1.2,0.99767,0.998517,0.9766839,1.495017,0.04914149,0.05223648,0.05068899,,,,,,18.06,0,0.9996375,0,38.7,0.2776023,22.62405,16.07535,0.005817577,0.01045296,3.278041,318.0867,75.68,1,38,38,0.9996012,0,0.01661288,0.998068,2.966441,1.828586,0,0.5481871,0.009501599,0.991358,0.9849471,0,0,1,1,,,,,0.949311,1,211727,27,2583,0,13,3,3,4,1,0,3,
2016/6/21,P8RNZD3,GZM44B8,PG38221,南站东广场,番禺,G.1.2,0.996783,0.999672,0.9871663,1.178451,0.04744318,0.04140274,0.04442296,,,,,,17.82,0,0.9995718,0,50.91428,0.4090036,24.784,17.55609,0.004740406,0.008264462,3.409174,292.7971,71.13,1,38,38,0.9995289,0,0.01227617,0.9972528,2.854471,1.755313,0,0.5201755,0.01642579,0.9963068,0.9888511,1,0,0,1,,,,,0.955577,1,198163,21,2541,1,7,1,3,2,4,0,3,
2016/6/24,P8RNZD3,GZM44B8,PG38221,南站东广场,番禺,G.1.2,0.987335,0.9949361,0.9600529,1.777778,0.06496724,0.1858183,0.1253928,,,,,,83.25,0.8581381,0.998062,0.006631603,29.91018,0.4441377,16.08611,6.746959,0.005598016,0.03421174,3.453556,590.3964,159.34,1,,38,0.998062,0,0.01292246,0.9892522,3.395644,2.006338,,1.418655,0.04800782,0.996796,0.9924555,1,1,1,1,,,,,0.8746072,,,,,,,,,,,,,
2016/6/29,P8RNZD3,GZM44B8,PG38221,南站东广场,番禺,G.1.2,0.994304,0.9991102,0.9607843,0.5868381,0.05296205,0.2608308,0.1568965,,,,,,71.57,0.5418472,0.9990289,0,91.36596,0.4044193,16.58729,10.0838,0.001856974,0.01417004,3.406218,456.6889,127.58,1,38,38,0.9990004,0,0.02942624,0.9952989,2.791919,1.665614,9,1.16462,0.04744145,0.9965278,0.9913164,1,1,1,1,,,,,0.8431035,,311313,42,2964,0,14,1,3,12,4,0,8,
